"type","modified","rightsHolder","bibilographicCititation","InstitutionID","CollectionID","datasetID","datasetName","institutionCode","verbatimLocation","locationID","verbatimLatitude","verbatimLongitude","verbatimWaterbody","verbatimCoordinateSystem","StateProvince","decimalLatitude","decimalLongitude","geodeticDatum","eventID","verbatimlocationID","Year","Time","verbatimEventDate","samplingProtocol","fieldNotes","Date","BFWidth","Grad","RchLen","BFWDRatio","BFHeight","WetWidth","WetWidthToDepth","RPD","PctPool","PctDry","StreamOrder","D50","PctFines2","PctFines6","LWDFreq","LWDVol","OEratio","MMI","Program"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.70254,-91.92294,"UNN TRIB. OTTER CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0098",2004,NA,NA,NA,NA,NA,4.1727272727,0.19,158.4,5.980870012,0.3963636364,3.495,12.067908485,14.153248742,28,0,NA,NA,61.904761905,15.238095238,NA,8.77511e-05,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.70254,-91.92294,"UNNAMED TRIBUTARY OTTER CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0098",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.537422,-94.33916,"LIZARD CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0099",2004,NA,NA,NA,NA,NA,25.3,0.14,871.2,18.165906382,0.98,20.95,54.616912989,18.583194742,35,0,NA,NA,53.333333333,11.428571429,NA,0.0020499189,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.537422,-94.33916,"LIZARD CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0099",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.979807,-91.672783,"BELL CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0100",2004,NA,NA,NA,NA,NA,9.4818181818,1.485,237.6,12.08110179,0.4727272727,6.525,23.448637392,15.288158753,18,0,NA,NA,16.19047619,2.8571428571,NA,0.0010795071,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.993331,-92.379581,"WAPSIPINICON",NA,"IA",NA,NA,NA,NA,"IAW02344-0102",2004,NA,NA,NA,NA,NA,18.536363636,0.18,514.8,13.191133055,0.6818181818,14.55,24.857949521,23.880084151,24,0,NA,NA,80.952380952,22.857142857,NA,0.0071754631,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.079063,-96.40991,"DRY CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0103",2004,NA,NA,NA,NA,NA,4.4636363636,0.21,198,5.1770616141,0.3681818182,3.735,7.5233918014,18.69580618,3,0,NA,NA,76.19047619,45.714285714,NA,0.0001312514,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.446393,-95.541019,"BATTLE CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0104",2004,NA,NA,NA,NA,NA,2.4181818182,0.518,149,3.0218759372,0.2054545455,1.784211,3.3154467298,24.58678588,8.6666666667,0,NA,NA,60,39.047619048,NA,0,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.367449,-95.688846,"MOSQUITO CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0105",2004,NA,NA,NA,NA,NA,9.9,0.1,212.4,5.0958631244,0.7133333333,7.733333,6.368083212,23.460351902,10,0,NA,NA,88.333333333,65,NA,0.0009501798,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.828811,-95.204582,"WEST TARKIO CREEK",NA,"IA",NA,NA,NA,NA,"IAW02344-0106",2004,NA,NA,NA,NA,NA,6.2272727273,0.34,198,5.90330892,0.4436363636,5.225,8.535340507,17.286969697,14,0,NA,NA,54.285714286,52.380952381,NA,0.0164939173,NA,NA,"EPA"
